event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-13T11:23:04Z,20219365698726,297,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-13T11:23:04Z,20219365698726,297,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-13T11:23:04Z,20219365698726,297,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-13T11:23:04Z,20219365698726,297,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-13T11:23:04Z,20219365698726,297,init:mem_used_pct,79.0207
HW_SAMPLE,2026-04-13T11:23:04Z,20219365698726,297,init:mem_total_kb,65847776
HW_SAMPLE,2026-04-13T11:23:04Z,20219365698726,297,init:mem_avail_kb,13814416
HW_SAMPLE,2026-04-13T11:23:04Z,20219365698726,297,init:vm_rss_kb,3900
HW_SAMPLE,2026-04-13T11:23:04Z,20219365698726,297,init:vm_peak_kb,14716
MODULE_START,2026-04-13T11:23:04Z,20219366032166,297,btc_qm_engine,main_btc_mining
METRIC,2026-04-13T11:23:04Z,20219366050546,297,btc_qm_engine:btc_run_mode_hash,66.0000000000
METRIC,2026-04-13T11:23:04Z,20219368035286,297,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-04-13T11:23:04Z,20219368125446,297,btc_qm_engine:btc_nx48_csv_loaded,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219368180296,297,btc_qm_engine:btc_nx48_init_loaded,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219368199996,297,btc_qm_engine:btc_nx48_delta_nonce_scale,28.0575880000
METRIC,2026-04-13T11:23:04Z,20219368219426,297,btc_qm_engine:btc_nx48_n_replicas_scale,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219368237716,297,btc_qm_engine:btc_nx48_swap_temp_scale,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219368255816,297,btc_qm_engine:btc_nx48_batch_size_scale,4.0000000000
METRIC,2026-04-13T11:23:04Z,20219368274336,297,btc_qm_engine:btc_nx48_exploration_bias,0.5261950000
METRIC,2026-04-13T11:23:04Z,20219368309246,297,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219368345316,297,btc_qm_engine:btc_wallet_from_privkey_start,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219371275666,297,btc_qm_engine:btc_wallet_from_privkey_ok,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219371495886,297,btc_qm_engine:btc_wallet_saved_json,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219371532196,297,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219371552526,297,btc_qm_engine:btc_integrity_gate_pass,1.0000000000
MODULE_START,2026-04-13T11:23:04Z,20219371587726,297,btc_qm_engine,btc_engine_create
METRIC,2026-04-13T11:23:04Z,20219371597686,297,btc_qm_engine:btc_n_replicas,8.0000000000
METRIC,2026-04-13T11:23:04Z,20219371627096,297,btc_qm_engine:btc_n_threads,8.0000000000
METRIC,2026-04-13T11:23:04Z,20219371651756,297,btc_qm_engine:btc_batch_size,256.0000000000
METRIC,2026-04-13T11:23:04Z,20219371677416,297,btc_qm_engine:btc_nonce_start,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219371701016,297,btc_qm_engine:btc_nonce_end,4294967295.0000000000
METRIC,2026-04-13T11:23:04Z,20219371732906,297,btc_qm_engine:btc_duration_s,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219371761826,297,btc_qm_engine:btc_replica_idx,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219371784586,297,btc_qm_engine:btc_replica_nonce,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219371803166,297,btc_qm_engine:btc_replica_temp,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219371821586,297,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219371839886,297,btc_qm_engine:btc_replica_idx,1.0000000000
METRIC,2026-04-13T11:23:04Z,20219371858146,297,btc_qm_engine:btc_replica_nonce,536870911.0000000000
METRIC,2026-04-13T11:23:04Z,20219371877676,297,btc_qm_engine:btc_replica_temp,2.0000000000
METRIC,2026-04-13T11:23:04Z,20219371895966,297,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219371919546,297,btc_qm_engine:btc_replica_idx,2.0000000000
METRIC,2026-04-13T11:23:04Z,20219371937926,297,btc_qm_engine:btc_replica_nonce,1073741822.0000000000
METRIC,2026-04-13T11:23:04Z,20219371956976,297,btc_qm_engine:btc_replica_temp,4.0000000000
METRIC,2026-04-13T11:23:04Z,20219371981716,297,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219372089576,297,btc_qm_engine:btc_replica_idx,3.0000000000
METRIC,2026-04-13T11:23:04Z,20219372116666,297,btc_qm_engine:btc_replica_nonce,1610612733.0000000000
METRIC,2026-04-13T11:23:04Z,20219372142126,297,btc_qm_engine:btc_replica_temp,8.0000000000
METRIC,2026-04-13T11:23:04Z,20219372166076,297,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219372189496,297,btc_qm_engine:btc_replica_idx,4.0000000000
METRIC,2026-04-13T11:23:04Z,20219372212816,297,btc_qm_engine:btc_replica_nonce,2147483644.0000000000
METRIC,2026-04-13T11:23:04Z,20219372237626,297,btc_qm_engine:btc_replica_temp,12.0000000000
METRIC,2026-04-13T11:23:04Z,20219372261886,297,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219372285926,297,btc_qm_engine:btc_replica_idx,5.0000000000
METRIC,2026-04-13T11:23:04Z,20219372329876,297,btc_qm_engine:btc_replica_nonce,2684354555.0000000000
METRIC,2026-04-13T11:23:04Z,20219372352946,297,btc_qm_engine:btc_replica_temp,20.0000000000
METRIC,2026-04-13T11:23:04Z,20219372371726,297,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-13T11:23:04Z,20219372392736,297,btc_qm_engine:btc_replica_idx,6.0000000000
METRIC,2026-04-13T11:23:04Z,20219372416136,297,btc_qm_engine:btc_replica_nonce,3221225466.0000000000
METRIC,2026-04-13T11:23:04Z,20219372440656,297,btc_qm_engine:btc_replica_temp,35.0000000000
METRIC,2026-04-13T11:23:04Z,20219372464326,297,btc_qm_engine:btc_replica_leading,0.0000000000
