63473059620043,cpu=42.3996%,mem=62.4325%,rss=7584KB,peak=375568KB,avail=24738128KB
63473060394483,cpu=0.0000%,mem=62.4325%,rss=7588KB,peak=375568KB,avail=24738128KB
63473060621863,cpu=0.0000%,mem=62.4325%,rss=7588KB,peak=375568KB,avail=24738128KB
63473059773773,cpu=0.0000%,mem=62.4325%,rss=7588KB,peak=375568KB,avail=24738128KB
189777248419245,cpu=0.0000%,mem=74.0978%,rss=7600KB,peak=310040KB,avail=17056016KB
189777247938766,cpu=40.9462%,mem=74.0978%,rss=7600KB,peak=310040KB,avail=17056016KB
189777249171395,cpu=100.0000%,mem=74.0978%,rss=7608KB,peak=310040KB,avail=17056016KB
189777250153475,cpu=0.0000%,mem=74.0978%,rss=7612KB,peak=310040KB,avail=17056016KB
189782248583771,cpu=42.0393%,mem=74.0947%,rss=7616KB,peak=310040KB,avail=17058072KB
189782250350050,cpu=50.0000%,mem=74.0947%,rss=7616KB,peak=310040KB,avail=17058072KB
189782251785950,cpu=0.0000%,mem=74.0947%,rss=7616KB,peak=310040KB,avail=17058072KB
189782251624550,cpu=0.0000%,mem=74.0947%,rss=7616KB,peak=310040KB,avail=17058072KB
189787250807585,cpu=41.7670%,mem=74.0629%,rss=7616KB,peak=310040KB,avail=17079008KB
189787254685975,cpu=0.0000%,mem=74.0629%,rss=7616KB,peak=310040KB,avail=17079008KB
189787256901985,cpu=0.0000%,mem=74.0629%,rss=7616KB,peak=310040KB,avail=17079008KB
189787255816405,cpu=66.6667%,mem=74.0629%,rss=7616KB,peak=310040KB,avail=17079008KB
189792256989110,cpu=47.2633%,mem=74.0602%,rss=7616KB,peak=310040KB,avail=17080796KB
189792259706440,cpu=0.0000%,mem=74.0602%,rss=7616KB,peak=310040KB,avail=17080796KB
189792262159760,cpu=100.0000%,mem=74.0602%,rss=7616KB,peak=310040KB,avail=17080796KB
189792261148820,cpu=0.0000%,mem=74.0602%,rss=7616KB,peak=310040KB,avail=17080796KB
189797260660034,cpu=0.0000%,mem=74.0938%,rss=7616KB,peak=310040KB,avail=17058664KB
189797259936204,cpu=40.7235%,mem=74.0938%,rss=7616KB,peak=310040KB,avail=17058664KB
189797264457014,cpu=50.0000%,mem=74.0938%,rss=7616KB,peak=310040KB,avail=17058664KB
189797270216034,cpu=25.0000%,mem=74.0938%,rss=7616KB,peak=310040KB,avail=17058664KB
189802264430219,cpu=45.4496%,mem=74.1826%,rss=7616KB,peak=310040KB,avail=17000200KB
189802264334239,cpu=0.0000%,mem=74.1826%,rss=7616KB,peak=310040KB,avail=17000200KB
189802265480038,cpu=0.0000%,mem=74.1826%,rss=7616KB,peak=310040KB,avail=17000200KB
189802283964557,cpu=42.8571%,mem=74.1826%,rss=7616KB,peak=310040KB,avail=17000200KB
189807270761603,cpu=44.2892%,mem=74.1736%,rss=7616KB,peak=310040KB,avail=17006112KB
189807271226163,cpu=0.0000%,mem=74.1736%,rss=7616KB,peak=310040KB,avail=17006112KB
189807272114863,cpu=100.0000%,mem=74.1736%,rss=7616KB,peak=310040KB,avail=17006112KB
189807285508061,cpu=40.0000%,mem=74.1736%,rss=7616KB,peak=310040KB,avail=17006112KB
189812272535347,cpu=39.9125%,mem=74.1685%,rss=7616KB,peak=310040KB,avail=17009448KB
189812274169037,cpu=100.0000%,mem=74.1685%,rss=7616KB,peak=310040KB,avail=17009448KB
189812275821427,cpu=50.0000%,mem=74.1685%,rss=7616KB,peak=310040KB,avail=17009448KB
189812293925785,cpu=33.3333%,mem=74.1685%,rss=7616KB,peak=310040KB,avail=17009448KB
189817275740801,cpu=40.7570%,mem=74.1677%,rss=7616KB,peak=310040KB,avail=17009980KB
189817278297621,cpu=0.0000%,mem=74.1677%,rss=7616KB,peak=310040KB,avail=17009980KB
189817285179450,cpu=33.3333%,mem=74.1677%,rss=7616KB,peak=310040KB,avail=17009980KB
189817307098789,cpu=41.1765%,mem=74.1677%,rss=7616KB,peak=310040KB,avail=17009980KB
189822277465045,cpu=41.1068%,mem=74.1457%,rss=7616KB,peak=310040KB,avail=17024476KB
189822285991744,cpu=33.3333%,mem=74.1457%,rss=7616KB,peak=310040KB,avail=17024476KB
189822286501754,cpu=0.0000%,mem=74.1457%,rss=7616KB,peak=310040KB,avail=17024476KB
189822326952261,cpu=41.9355%,mem=74.1457%,rss=7616KB,peak=310040KB,avail=17024476KB
189827280532799,cpu=40.3649%,mem=74.1587%,rss=7616KB,peak=310040KB,avail=17015928KB
189827292947068,cpu=33.3333%,mem=74.1587%,rss=7616KB,peak=310040KB,avail=17015928KB
189827294187878,cpu=0.0000%,mem=74.1587%,rss=7616KB,peak=310040KB,avail=17015928KB
189827335331474,cpu=38.7097%,mem=74.1587%,rss=7616KB,peak=310040KB,avail=17015936KB
190739381527363,cpu=0.0000%,mem=81.1618%,rss=7768KB,peak=604968KB,avail=12404528KB
190739381493243,cpu=63.9096%,mem=81.1618%,rss=7768KB,peak=604968KB,avail=12404528KB
190739381829083,cpu=0.0000%,mem=81.1618%,rss=7776KB,peak=604968KB,avail=12404528KB
190739382992603,cpu=100.0000%,mem=81.1618%,rss=7780KB,peak=604968KB,avail=12404528KB
190739383097553,cpu=0.0000%,mem=81.1618%,rss=7784KB,peak=604968KB,avail=12404528KB
190739384454093,cpu=0.0000%,mem=81.1618%,rss=7788KB,peak=604968KB,avail=12404528KB
190739385381943,cpu=100.0000%,mem=81.1618%,rss=7792KB,peak=604968KB,avail=12404528KB
190739389175053,cpu=50.0000%,mem=81.1618%,rss=7796KB,peak=604968KB,avail=12404560KB
190744382732814,cpu=63.0064%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744383166574,cpu=100.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744384848924,cpu=0.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744386624904,cpu=50.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744386948364,cpu=0.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744387635124,cpu=0.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744391643743,cpu=80.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190744395547153,cpu=100.0000%,mem=81.0776%,rss=7800KB,peak=604968KB,avail=12459972KB
190749383543195,cpu=66.9065%,mem=81.1114%,rss=7800KB,peak=604968KB,avail=12437740KB
190749387054675,cpu=100.0000%,mem=81.1114%,rss=7800KB,peak=604968KB,avail=12437740KB
190749387951274,cpu=0.0000%,mem=81.1114%,rss=7800KB,peak=604968KB,avail=12437740KB
190749389991464,cpu=100.0000%,mem=81.1113%,rss=7800KB,peak=604968KB,avail=12437756KB
190749390852134,cpu=0.0000%,mem=81.1113%,rss=7800KB,peak=604968KB,avail=12437756KB
190749391810584,cpu=100.0000%,mem=81.1113%,rss=7800KB,peak=604968KB,avail=12437756KB
190749397845374,cpu=66.6667%,mem=81.1113%,rss=7800KB,peak=604968KB,avail=12437756KB
190749398911344,cpu=100.0000%,mem=81.1113%,rss=7800KB,peak=604968KB,avail=12437756KB
190754388620375,cpu=73.1964%,mem=81.2590%,rss=7800KB,peak=604968KB,avail=12340528KB
190754390845185,cpu=100.0000%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340684KB
190754394306854,cpu=0.0000%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340676KB
190754394315054,cpu=66.6667%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340676KB
190754397605704,cpu=100.0000%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340644KB
190754397792174,cpu=0.0000%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340644KB
190754398969204,cpu=50.0000%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340644KB
190754402255214,cpu=100.0000%,mem=81.2588%,rss=7800KB,peak=604968KB,avail=12340644KB
190759393811194,cpu=75.0458%,mem=82.0524%,rss=7800KB,peak=604968KB,avail=11818128KB
190759397368224,cpu=66.6667%,mem=82.0524%,rss=7800KB,peak=604968KB,avail=11818128KB
190759397924904,cpu=0.0000%,mem=82.0524%,rss=7800KB,peak=604968KB,avail=11818128KB
190759399675794,cpu=100.0000%,mem=82.0524%,rss=7800KB,peak=604968KB,avail=11818128KB
